Type	IRI	Status	Label
Class	http://purl.obolibrary.org/obo/GO_0032905		transforming growth factor beta1 production
Class	http://purl.obolibrary.org/obo/UBERON_0001913		milk
Class	http://purl.obolibrary.org/obo/GO_0001047		core promoter binding
Class	http://purl.obolibrary.org/obo/GO_0032907		transforming growth factor beta3 production
NamedIndividual	http://purl.obolibrary.org/obo/OBI_0001375	metadata complete	Advanced Instruments Inc. (AI Companies)
Class	http://purl.obolibrary.org/obo/GO_0032906		transforming growth factor beta2 production
Class	http://purl.obolibrary.org/obo/OBI_0001951	ready for release	reverse PCR primer
Class	http://purl.obolibrary.org/obo/OBI_0500019	metadata complete	self vs self design
Class	http://purl.obolibrary.org/obo/OBI_0001952	metadata complete	flash freezing
Class	http://purl.obolibrary.org/obo/OBI_0500018	pending final vetting	replicate design
Class	http://purl.obolibrary.org/obo/OBI_0001953	metadata complete	freezing
Class	http://purl.obolibrary.org/obo/OBI_0500017	pending final vetting	dye swap design
Class	http://purl.obolibrary.org/obo/OBI_0001954	ready for release	ChIP assay
Class	http://purl.obolibrary.org/obo/OBI_0500016	pending final vetting	fractional factorial design
Class	http://purl.obolibrary.org/obo/OBI_0000623	metadata incomplete	NMR spectroscopy
Class	http://purl.obolibrary.org/obo/OBI_0500015	metadata complete	2x2 factorial design
Class	http://purl.obolibrary.org/obo/OBI_0000622	metadata complete	gel permeation column
Class	http://purl.obolibrary.org/obo/OBI_0500014	pending final vetting	factorial design
Class	http://purl.obolibrary.org/obo/OBI_0000621	metadata complete	custom made column
Class	http://purl.obolibrary.org/obo/OBI_0500013	pending final vetting	hyper graeco latin square design
Class	http://purl.obolibrary.org/obo/OBI_0000620	metadata complete	Bruker micro imaging probe
Class	http://purl.obolibrary.org/obo/OBI_0500012	pending final vetting	graeco latin square design
Class	http://purl.obolibrary.org/obo/OBI_0500011	pending final vetting	latin square design
Class	http://purl.obolibrary.org/obo/OBI_0500010	pending final vetting	reference design
NamedIndividual	http://purl.obolibrary.org/obo/OBI_0001372	metadata complete	Beckman Coulter
Class	http://purl.obolibrary.org/obo/CL_0000066		epithelial cell
Class	http://purl.obolibrary.org/obo/OBI_0200050	ready for release	dimensionality reduction
Class	http://purl.obolibrary.org/obo/OBI_0000629	metadata complete	Bruker solid magic angle spinning probe
Class	http://purl.obolibrary.org/obo/OBI_0200052	metadata incomplete	probabilistic algorithm
Class	http://purl.obolibrary.org/obo/OBI_0000628	metadata complete	carbon nanotube column
Class	http://purl.obolibrary.org/obo/OBI_0200051	ready for release	principal components analysis dimensionality reduction
Class	http://purl.obolibrary.org/obo/OBI_0000627	metadata complete	quaternary pump system
Class	http://purl.obolibrary.org/obo/OBI_0200054	pending final vetting	global modularity calculation
Class	http://purl.obolibrary.org/obo/OBI_0000626	metadata incomplete	DNA sequencing
Class	http://purl.obolibrary.org/obo/OBI_0200053	metadata incomplete	expectation maximization
Class	http://purl.obolibrary.org/obo/OBI_0000625	metadata complete	JEOL ECX NMR spectrometer
Class	http://purl.obolibrary.org/obo/OBI_0200056	ready for release	moving average
Class	http://purl.obolibrary.org/obo/OBI_0000624	metadata complete	Bruker SampleJet system
Class	http://purl.obolibrary.org/obo/OBI_0200055	ready for release	dye swap merge
Class	http://purl.obolibrary.org/obo/OBI_0001955	metadata complete	competitive binding reference ligand role
Class	http://purl.obolibrary.org/obo/OBI_0200058	metadata incomplete	b cell epitope prediction
Class	http://purl.obolibrary.org/obo/OBI_0001956	ready for release	assay using chromatin immunoprecipitation
Class	http://purl.obolibrary.org/obo/OBI_0200057	ready for release	replicate analysis
Class	http://purl.obolibrary.org/obo/OBI_0001957	metadata complete	hardware testing design
Class	http://purl.obolibrary.org/obo/OBI_0001958	metadata complete	systematic review study design
Class	http://purl.obolibrary.org/obo/OBI_0200059	metadata incomplete	mhc binding prediction
Class	http://purl.obolibrary.org/obo/OBI_0001959	ready for release	sequencing library multiplexing
Class	http://purl.obolibrary.org/obo/OBI_0001960	ready for release	taxonomic diversity assessment by targeted gene survey
Class	http://purl.obolibrary.org/obo/GO_0002367		cytokine production involved in immune response
Class	http://purl.obolibrary.org/obo/OBI_0001961	ready for release	PCR program
Class	http://purl.obolibrary.org/obo/OBI_0001962	ready for release	target gene specification
Class	http://purl.obolibrary.org/obo/OBI_0001963	ready for release	target subfragment specification
Class	http://purl.obolibrary.org/obo/NCBITaxon_10116		Rattus norvegicus
Class	http://purl.obolibrary.org/obo/OBI_0001964	metadata complete	decision-theoretic analysis objective
Class	http://purl.obolibrary.org/obo/OBI_0500028	pending final vetting	exclusion criterion
Class	http://purl.obolibrary.org/obo/OBI_0001965	metadata complete	decision analysis study design
Class	http://purl.obolibrary.org/obo/OBI_0500027	pending final vetting	inclusion criteria
Class	http://purl.obolibrary.org/obo/OBI_0000634	ready for release	DNA methylation profiling assay
Class	http://purl.obolibrary.org/obo/OBI_0500026	ready for release	eligibility criterion
Class	http://purl.obolibrary.org/obo/OBI_0000633	metadata complete	column heater
Class	http://purl.obolibrary.org/obo/OBI_0500025	pending final vetting	ethical standard compliance rule
Class	http://purl.obolibrary.org/obo/OBI_0000632	metadata complete	Bruker Metabolic Profiler
Class	http://purl.obolibrary.org/obo/OBI_0500024	pending final vetting	standard compliance rule
Class	http://purl.obolibrary.org/obo/OBI_0000631	metadata complete	Varian MERCURY spectrometer
Class	http://purl.obolibrary.org/obo/OBI_0500023	pending final vetting	compliance rule
Class	http://purl.obolibrary.org/obo/OBI_0000630	metadata incomplete	hematology
Class	http://purl.obolibrary.org/obo/OBI_0500022	pending final vetting	stopping rule
Class	http://purl.obolibrary.org/obo/OBI_0500020	pending final vetting	time series design
Class	http://purl.obolibrary.org/obo/OBI_0200041	pending final vetting	k-means clustering
Class	http://purl.obolibrary.org/obo/OBI_0000639	ready for release	material separation objective
Class	http://purl.obolibrary.org/obo/OBI_0200040	metadata complete	modular decomposition
Class	http://purl.obolibrary.org/obo/CHEBI_33376		terbium atom
Class	http://purl.obolibrary.org/obo/OBI_0000638	metadata complete	gas purifier
Class	http://purl.obolibrary.org/obo/OBI_0200043	pending final vetting	average linkage hierarchical clustering
Class	http://purl.obolibrary.org/obo/CHEBI_33375		gadolinium atom
Class	http://purl.obolibrary.org/obo/OBI_0000637	metadata complete	gas chromatography detector
Class	http://purl.obolibrary.org/obo/OBI_0200042	pending final vetting	hierarchical clustering
Class	http://purl.obolibrary.org/obo/OBI_0000636	metadata complete	acquisition computer
Class	http://purl.obolibrary.org/obo/OBI_0200045	pending final vetting	single linkage hierarchical clustering
Class	http://purl.obolibrary.org/obo/OBI_0000635	metadata complete	JEOL CapNMR probe
Class	http://purl.obolibrary.org/obo/OBI_0200044	metadata complete	complete linkage hierarchical clustering
Class	http://purl.obolibrary.org/obo/OBI_0001966	ready for release	sequence library deconvolution
Class	http://purl.obolibrary.org/obo/SO_0000988		circular
Class	http://purl.obolibrary.org/obo/OBI_0001967	ready for release	multiplexing sequence identifier
Class	http://purl.obolibrary.org/obo/OBI_0001968	ready for release	operational taxonomic unit matrix
Class	http://purl.obolibrary.org/obo/OBI_0200049	metadata complete	Benjamini and Yekutieli false discovery rate correction method
Class	http://purl.obolibrary.org/obo/OBI_0001969	ready for release	biodiversity assessment objective
Class	http://purl.obolibrary.org/obo/OBI_0001970	ready for release	multiplexed sequencing library
Class	http://purl.obolibrary.org/obo/OBI_0001971	metadata complete	Ion 316 Chip v2
Class	http://purl.obolibrary.org/obo/OBI_0001972	metadata complete	Ion 318 Chip v2
Class	http://purl.obolibrary.org/obo/OBI_0001973	metadata complete	ion semiconductor chip
Class	http://purl.obolibrary.org/obo/OBI_0001974	metadata complete	Ion 314 Chip v2
Class	http://purl.obolibrary.org/obo/OBI_0001976	metadata complete	hydrogen/deuterium exchange assay
Class	http://purl.obolibrary.org/obo/OBI_0000642	metadata complete	atomic emission detector
Class	http://purl.obolibrary.org/obo/PR_000006592		deoxyribonuclease-1
Class	http://purl.obolibrary.org/obo/OBI_0000641	metadata complete	JEOL ECA NMR spectrometer
Class	http://purl.obolibrary.org/obo/OBI_0000640	metadata complete	indirect detection probe
Class	http://purl.obolibrary.org/obo/OBI_0200030	ready for release	median centering
Class	http://purl.obolibrary.org/obo/OBI_0000649	pending final vetting	data set of features
Class	http://purl.obolibrary.org/obo/OBI_0200032	metadata incomplete	K-fold cross validation method
Class	http://purl.obolibrary.org/obo/OBI_0000648	pending final vetting	clustered data set
Class	http://purl.obolibrary.org/obo/OBI_0200031	ready for release	differential expression analysis objective
Class	http://purl.obolibrary.org/obo/OBI_0200034	metadata complete	jackknifing method
Class	http://purl.obolibrary.org/obo/OBI_0200033	metadata incomplete	leave one out cross validation method
Class	http://purl.obolibrary.org/obo/OBI_0001977	metadata complete	cytometry assay
Class	http://purl.obolibrary.org/obo/OBI_0200036	metadata complete	Benjamini and Hochberg false discovery rate correction method
Class	http://purl.obolibrary.org/obo/OBI_0001978	metadata complete	immunoblot assay
Class	http://purl.obolibrary.org/obo/OBI_0200035	metadata complete	boostrapping
Class	http://purl.obolibrary.org/obo/OBI_0001979	metadata complete	fluorescence quenching binding assay
Class	http://purl.obolibrary.org/obo/OBI_0200037	pending final vetting	pareto scaling
Class	http://purl.obolibrary.org/obo/CL_0000084		T cell
NamedIndividual	http://purl.obolibrary.org/obo/OBI_0001320	metadata complete	Exbio Antibodies
NamedIndividual	http://purl.obolibrary.org/obo/OBI_0001321	metadata complete	Becton Dickinson (BD Biosciences)
Class	http://purl.obolibrary.org/obo/GO_0003674		molecular_function
Class	http://purl.obolibrary.org/obo/OBI_0001908	ready for release	testable hypothesis
Class	http://purl.obolibrary.org/obo/OBI_0001909	ready for release	conclusion based on data
Class	http://purl.obolibrary.org/obo/CL_0000097		mast cell
Class	http://purl.obolibrary.org/obo/OBI_0200021	ready for release	linlog transformation
Class	http://purl.obolibrary.org/obo/OBI_0200020	ready for release	homogeneous polynomial transformation
Class	http://purl.obolibrary.org/obo/OBI_0200023	ready for release	loess global transformation
Class	http://purl.obolibrary.org/obo/OBI_0200022	ready for release	variance stabilizing transformation
Class	http://purl.obolibrary.org/obo/OBI_0001900	metadata complete	specimen identifier assigned by specimen repository
Class	http://purl.obolibrary.org/obo/OBI_0200025	ready for release	loess scale group transformation
Class	http://purl.obolibrary.org/obo/OBI_0001901	metadata complete	specimen identifier assigned by sequencing facility
Class	http://purl.obolibrary.org/obo/OBI_0200024	ready for release	loess group transformation
Class	http://purl.obolibrary.org/obo/OBI_0001902	metadata complete	sample preparation for sequencing assay
Class	http://purl.obolibrary.org/obo/OBI_0200027	ready for release	total intensity transformation paired
Class	http://purl.obolibrary.org/obo/OBI_0001903	metadata complete	email address of specimen provider principal investigator
Class	http://purl.obolibrary.org/obo/OBI_0200026	ready for release	total intensity transformation single
Class	http://purl.obolibrary.org/obo/OBI_0001904	metadata complete	sequencing service
Class	http://purl.obolibrary.org/obo/OBI_0200029	ready for release	mean centering
Class	http://purl.obolibrary.org/obo/OBI_0001905	metadata complete	secondary cultured cell population
Class	http://purl.obolibrary.org/obo/OBI_0200028	ready for release	quantile transformation
Class	http://purl.obolibrary.org/obo/OBI_0001906	metadata incomplete	cancer cell line
Class	http://purl.obolibrary.org/obo/OBI_0001907	requires discussion	immortalizing cell line transformation
Class	http://purl.obolibrary.org/obo/OBI_0001910	metadata complete	primary cell culture
Class	http://purl.obolibrary.org/obo/PATO_0001548		quality of a liquid
Class	http://purl.obolibrary.org/obo/PATO_0001546		quality of a solid
Class	http://purl.obolibrary.org/obo/PATO_0001547		quality of a gas
Class	http://purl.obolibrary.org/obo/CHEBI_33359		rhodium atom
Class	http://purl.obolibrary.org/obo/OBI_0001919	metadata complete	Carbon-copy chromosome conformation capture assay
Class	http://purl.obolibrary.org/obo/OBI_0200010	ready for release	loess scale group transformation one-channel
Class	http://purl.obolibrary.org/obo/OBI_0200012	ready for release	loess scale group transformation two-channel
Class	http://purl.obolibrary.org/obo/OBI_0200011	ready for release	logical transformation
Class	http://purl.obolibrary.org/obo/OBI_0001911	metadata complete	cell line culture
Class	http://purl.obolibrary.org/obo/OBI_0200014	ready for release	split-scale transformation
Class	http://purl.obolibrary.org/obo/OBI_0001912	metadata complete	cell freezing medium
Class	http://purl.obolibrary.org/obo/OBI_0200013	ready for release	loess global transformation one-channel
NamedIndividual	http://purl.obolibrary.org/obo/OBI_0001338	metadata complete	Dako Cytomation
Class	http://purl.obolibrary.org/obo/OBI_0001913	pending final vetting	computation run time
Class	http://purl.obolibrary.org/obo/OBI_0200016	ready for release	sine transformation
Class	http://purl.obolibrary.org/obo/OBI_0001914	metadata complete	multiplex ligation-mediated amplification
Class	http://purl.obolibrary.org/obo/OBI_0200015	ready for release	loess global transformation two-channel
Class	http://purl.obolibrary.org/obo/OBI_0001915	metadata complete	DNA replication timing by array assay
Class	http://purl.obolibrary.org/obo/OBI_0200018	ready for release	loess group transformation one-channel
Class	http://purl.obolibrary.org/obo/OBI_0001916	metadata complete	DNA replication identification objective
Class	http://purl.obolibrary.org/obo/OBI_0200017	ready for release	cosine transformation
Class	http://purl.obolibrary.org/obo/OBI_0001917	metadata complete	chromosome conformation identification objective
Class	http://purl.obolibrary.org/obo/OBI_0001918	metadata complete	RNA-binding protein immunoprecipitation array profiling assay
Class	http://purl.obolibrary.org/obo/OBI_0200019	ready for release	loess group transformation two-channel
NamedIndividual	http://purl.obolibrary.org/obo/OBI_0001340	metadata complete	Millipore
Class	http://purl.obolibrary.org/obo/OBI_0001920	metadata complete	DNA replication timing by sequencing assay
Class	http://purl.obolibrary.org/obo/OBI_0001921	metadata complete	RNA-binding protein immunoprecipitation tiling array profiling
NamedIndividual	http://purl.obolibrary.org/obo/OBI_0001347	metadata complete	Antigenix
Class	http://purl.obolibrary.org/obo/OBI_0200001	metadata incomplete	geometric mean calculation
Class	http://purl.obolibrary.org/obo/OBI_0200000	ready for release	data transformation
Class	http://purl.obolibrary.org/obo/OBI_0001922	metadata complete	microRNA profiling by high throughput sequencing assay
Class	http://purl.obolibrary.org/obo/OBI_0200003	ready for release	logit-log curve fitting
Class	http://purl.obolibrary.org/obo/OBI_0001923	metadata complete	protein sequencing by tandem mass spectrometry assay
Class	http://purl.obolibrary.org/obo/OBI_0200002	ready for release	logistic-log curve fitting
Class	http://purl.obolibrary.org/obo/OBI_0001924	metadata complete	micrococcal nuclease digestion followed by high throughput sequencing assay
Class	http://purl.obolibrary.org/obo/OBI_0200005	pending final vetting	feature extraction objective
Class	http://purl.obolibrary.org/obo/OBI_0001925	metadata complete	chromatin immunoprecipitation with exonuclease sequencing assay
Class	http://purl.obolibrary.org/obo/OBI_0200004	ready for release	log-log curve fitting
Class	http://purl.obolibrary.org/obo/OBI_0001926	metadata complete	microRNA profiling assay
Class	http://purl.obolibrary.org/obo/OBI_0200007	ready for release	box-cox transformation
Class	http://purl.obolibrary.org/obo/OBI_0200006	ready for release	biexponential transformation
Class	http://purl.obolibrary.org/obo/OBI_0001928	ready for release	selection
Class	http://purl.obolibrary.org/obo/OBI_0001929	metadata incomplete	mass value specification
Class	http://purl.obolibrary.org/obo/OBI_0200008	ready for release	hyperlog transformation
NamedIndividual	http://purl.obolibrary.org/obo/OBI_0001355	metadata complete	Partec
Class	http://purl.obolibrary.org/obo/OBI_0001930	metadata incomplete	categorical value specification
Class	http://purl.obolibrary.org/obo/OBI_0001931	metadata incomplete	scalar value specification
Class	http://purl.obolibrary.org/obo/OBI_0001932	metadata incomplete	comparing prediction to measurement
Class	http://purl.obolibrary.org/obo/OBI_0000601	metadata complete	chromatography consumable
Class	http://purl.obolibrary.org/obo/OBI_0000600	metadata complete	JEOL NMR instrument
Class	http://purl.obolibrary.org/obo/OBI_0000609	metadata complete	glass column
Class	http://purl.obolibrary.org/obo/OBI_0000608	metadata complete	hydrogen generator
Class	http://purl.obolibrary.org/obo/OBI_0000607	metadata complete	high resolution magic angle spin probe
Class	http://purl.obolibrary.org/obo/OBI_0000606	metadata complete	open tubular column
Class	http://purl.obolibrary.org/obo/OBI_0000605	metadata complete	chart recorder
Class	http://purl.obolibrary.org/obo/OBI_0000604	metadata complete	detector lamp
Class	http://purl.obolibrary.org/obo/OBI_0000603	metadata complete	liquid chromatography column
Class	http://purl.obolibrary.org/obo/OBI_0000602	metadata complete	column frit
Class	http://purl.obolibrary.org/obo/OBI_0001933	ready for release	value specification
Class	http://purl.obolibrary.org/obo/OBI_0001934	metadata incomplete	predicted value
Class	http://purl.obolibrary.org/obo/OBI_0001935	metadata incomplete	predicted mass value
Class	http://purl.obolibrary.org/obo/OBI_0001936	pending final vetting	molecular-labeled material
Class	http://purl.obolibrary.org/obo/OBI_0001939	ready for release	genome coverage
ObjectProperty	http://purl.obolibrary.org/obo/OBI_0000999	metadata incomplete	has category label
Class	http://purl.obolibrary.org/obo/UBERON_0001987		placenta
Class	http://purl.obolibrary.org/obo/UBERON_0001988		feces
Class	http://purl.obolibrary.org/obo/BFO_0000005		obsolete dependent continuant
Class	http://purl.obolibrary.org/obo/BFO_0000006		spatial region
Class	http://purl.obolibrary.org/obo/BFO_0000003		occurrent
Class	http://purl.obolibrary.org/obo/BFO_0000004		independent continuant
Class	http://purl.obolibrary.org/obo/BFO_0000009		two-dimensional spatial region
Class	http://purl.obolibrary.org/obo/BFO_0000008		temporal region
Class	http://purl.obolibrary.org/obo/BFO_0000011		spatiotemporal region
Class	http://purl.obolibrary.org/obo/CHEBI_23995		N-ethyl-N-nitrosourea
Class	http://purl.obolibrary.org/obo/BFO_0000001		entity
Class	http://purl.obolibrary.org/obo/CHEBI_33321		rare earth metal atom
Class	http://purl.obolibrary.org/obo/BFO_0000002		continuant
Class	http://purl.obolibrary.org/obo/BFO_0000027		object aggregate
Class	http://purl.obolibrary.org/obo/OBI_0302837	metadata complete	decapitated organism
Class	http://purl.obolibrary.org/obo/BFO_0000028		three-dimensional spatial region
Class	http://purl.obolibrary.org/obo/OBI_0302835	metadata complete	denatured polymer
Class	http://purl.obolibrary.org/obo/BFO_0000026		one-dimensional spatial region
Class	http://purl.obolibrary.org/obo/BFO_0000029		site
Class	http://purl.obolibrary.org/obo/BFO_0000030		object
Class	http://purl.obolibrary.org/obo/BFO_0000031		generically dependent continuant
Class	http://purl.obolibrary.org/obo/BFO_0000034		function
Class	http://purl.obolibrary.org/obo/BFO_0000035		process boundary
Class	http://purl.obolibrary.org/obo/PR_000023089		DNA ligase
Class	http://purl.obolibrary.org/obo/OBI_0302838	metadata complete	validated information
Class	http://purl.obolibrary.org/obo/CHMO_0000089		confocal fluorescence microscopy
Class	http://purl.obolibrary.org/obo/CHMO_0000087		fluorescence microscopy
NamedIndividual	http://purl.obolibrary.org/obo/OBI_0001312	metadata complete	Apogee Flow Systems
Class	http://purl.obolibrary.org/obo/BFO_0000016		disposition
Class	http://purl.obolibrary.org/obo/BFO_0000017		realizable entity
Class	http://purl.obolibrary.org/obo/BFO_0000015		process
Class	http://purl.obolibrary.org/obo/BFO_0000018		zero-dimensional spatial region
Class	http://purl.obolibrary.org/obo/BFO_0000019		quality
Class	http://purl.obolibrary.org/obo/BFO_0000020		specifically dependent continuant
Class	http://purl.obolibrary.org/obo/BFO_0000023		role
Class	http://purl.obolibrary.org/obo/IAO_0000186	pending final vetting	photographic print
Class	http://purl.obolibrary.org/obo/BFO_0000024		fiat object
Class	http://purl.obolibrary.org/obo/IAO_0000182	ready for release	obsolete_survival curve
Class	http://purl.obolibrary.org/obo/IAO_0000183	ready for release	dendrogram
Class	http://purl.obolibrary.org/obo/GO_0051276		chromosome organization
Class	http://purl.obolibrary.org/obo/IAO_0000184	ready for release	scatter plot
Class	http://purl.obolibrary.org/obo/IAO_0000185	ready for release	photograph
Class	http://purl.obolibrary.org/obo/GO_0016064		immunoglobulin mediated immune response
Class	http://purl.obolibrary.org/obo/IAO_0000180	ready for release	heatmap
Class	http://purl.obolibrary.org/obo/IAO_0000181	ready for release	Venn diagram
Class	http://purl.obolibrary.org/obo/OBI_0001067	metadata complete	perfusion station
Class	http://purl.obolibrary.org/obo/OBI_0001068	metadata complete	SPECT scanner
Class	http://purl.obolibrary.org/obo/OBI_0001069	metadata complete	array manufacturer role
Class	http://purl.obolibrary.org/obo/OBI_0001060	metadata complete	spot cutter
Class	http://purl.obolibrary.org/obo/OBI_0001061	metadata complete	microwave synthesis system
Class	http://purl.obolibrary.org/obo/OBI_0001062	metadata complete	densitometer
Class	http://purl.obolibrary.org/obo/OBI_0001063	metadata complete	automatic staining machine
Class	http://purl.obolibrary.org/obo/OBI_0001064	metadata complete	automatic tissue processor
Class	http://purl.obolibrary.org/obo/OBI_0001065	metadata complete	stereo microscope
Class	http://purl.obolibrary.org/obo/OBI_0001066	metadata complete	top loading balance
NamedIndividual	http://purl.obolibrary.org/obo/OBI_0000878	metadata incomplete	obsolete_the manufacturer role of Ambion
Class	http://purl.obolibrary.org/obo/OBI_0001078	metadata complete	infrared image acquisition device
Class	http://purl.obolibrary.org/obo/OBI_0001079	metadata complete	confocal microscope
Class	http://purl.obolibrary.org/obo/OBI_0001070	metadata complete	scintillation counter
Class	http://purl.obolibrary.org/obo/OBI_0001071	metadata complete	programmable array microscope
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000428		requires discussion
NamedIndividual	http://purl.obolibrary.org/obo/OBI_0000884	metadata incomplete	obsolete_the regulator role of the FDA
Class	http://purl.obolibrary.org/obo/OBI_0001072	metadata complete	cryostat
Class	http://purl.obolibrary.org/obo/OBI_0001073	metadata complete	microtome knife maker
Class	http://purl.obolibrary.org/obo/OBI_0001074	metadata complete	cryofixation device
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000423		to be replaced with external ontology term
NamedIndividual	http://purl.obolibrary.org/obo/OBI_0000881	metadata incomplete	obsolete_the manufacturer role of BIO-RAD
Class	http://purl.obolibrary.org/obo/OBI_0001075	metadata complete	hybridization oven
Class	http://purl.obolibrary.org/obo/OBI_0001076	metadata complete	incubator shaker
Class	http://purl.obolibrary.org/obo/OBI_0001077	metadata complete	small-animal image acquisition device
Class	http://purl.obolibrary.org/obo/OBI_0200094	ready for release	logarithmic transformation
Class	http://purl.obolibrary.org/obo/OBI_0200093	ready for release	polynomial transformation
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000420		defined class
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000421		named class expression
Class	http://purl.obolibrary.org/obo/OBI_0200095	ready for release	exponential transformation
Class	http://purl.obolibrary.org/obo/OBI_0200098	metadata complete	soft independent modeling of class analogy analysis
Class	http://purl.obolibrary.org/obo/OBI_0200097	metadata complete	non-negative matrix factorization
NamedIndividual	http://purl.obolibrary.org/obo/OBI_0000887	metadata incomplete	obsolete_the manufacturer role of Helicos
Class	http://purl.obolibrary.org/obo/OBI_0001080	metadata complete	patch clamp device
Class	http://purl.obolibrary.org/obo/OBI_0200099	pending final vetting	discriminant function analysis
NamedIndividual	http://purl.obolibrary.org/obo/OBI_0000886	metadata incomplete	obsolete_the manufacturer role of Illumina
Class	http://purl.obolibrary.org/obo/OBI_0001089	metadata complete	microhardness tester
Class	http://purl.obolibrary.org/obo/OBI_0001081	metadata complete	gel imaging system
Class	http://purl.obolibrary.org/obo/OBI_0001082	metadata complete	protein separation apparatus
Class	http://purl.obolibrary.org/obo/OBI_0001083	metadata complete	multichannel electronic pipette
Class	http://purl.obolibrary.org/obo/OBI_0001084	metadata complete	vitrification apparatus
Class	http://purl.obolibrary.org/obo/OBI_0001085	metadata complete	radiography instrument
Class	http://purl.obolibrary.org/obo/OBI_0001086	metadata complete	radiation measurement device
Class	http://purl.obolibrary.org/obo/OBI_0001087	metadata complete	lyophilizer
Class	http://purl.obolibrary.org/obo/OBI_0200092	metadata incomplete	Westfall and Young family wise error rate correction
NamedIndividual	http://purl.obolibrary.org/obo/OBI_0000890	metadata incomplete	obsolete_manufacturer role of Bruker Corporation
Class	http://purl.obolibrary.org/obo/OBI_0001088	metadata complete	tandem mass spectrometer
Class	http://purl.obolibrary.org/obo/OBI_0200091	metadata complete	inter-rater reliability objective
Class	http://purl.obolibrary.org/obo/OBI_0200083	metadata complete	survival analysis objective
Class	http://purl.obolibrary.org/obo/OBI_0200082	metadata incomplete	longitudinal data analysis
Class	http://purl.obolibrary.org/obo/OBI_0200085	metadata incomplete	mass spectrometry analysis
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000410		universal
Class	http://purl.obolibrary.org/obo/OBI_0200086	metadata incomplete	spread calculation data transformation
Class	http://purl.obolibrary.org/obo/OBI_0001090	metadata complete	multimode microplate reader
Class	http://purl.obolibrary.org/obo/OBI_0200089	metadata incomplete	multiple testing correction method
NamedIndividual	http://purl.obolibrary.org/obo/OBI_0000898	metadata incomplete	obsolete_the manufacturer role of Waters
Class	http://purl.obolibrary.org/obo/OBI_0001091	metadata complete	mechanical balance
Class	http://purl.obolibrary.org/obo/OBI_0200088	metadata complete	Kaplan Meier
Class	http://purl.obolibrary.org/obo/CHEBI_29237		deuterium atom
Class	http://purl.obolibrary.org/obo/OBI_0001092	metadata complete	computer cluster
Class	http://purl.obolibrary.org/obo/OBI_0001093	metadata complete	microtome knife sharpener
Class	http://purl.obolibrary.org/obo/OBI_0001094	metadata complete	plate shaker
Class	http://purl.obolibrary.org/obo/OBI_0001095	metadata complete	coagulation analyzer
Class	http://purl.obolibrary.org/obo/OBI_0001096	metadata complete	laser capture microdissection microscope
Class	http://purl.obolibrary.org/obo/OBI_0001097	metadata complete	liquid extraction robot
Class	http://purl.obolibrary.org/obo/OBI_0001098	metadata complete	ultrasound machine
Class	http://purl.obolibrary.org/obo/OBI_0200081	metadata complete	sequence analysis objective
Class	http://purl.obolibrary.org/obo/OBI_0001099	metadata complete	immunoblot scanner
Class	http://purl.obolibrary.org/obo/OBI_0200080	pending final vetting	network analysis
Class	http://purl.obolibrary.org/obo/OBI_0200072	ready for release	curve fitting data transformation
Class	http://purl.obolibrary.org/obo/OBI_0200071	ready for release	loess transformation
Class	http://purl.obolibrary.org/obo/OBI_0200074	ready for release	submatrix extraction
Class	http://purl.obolibrary.org/obo/OBI_0200073	pending final vetting	family wise error rate correction method
Class	http://purl.obolibrary.org/obo/OBI_0200076	ready for release	column submatrix extraction
Class	http://purl.obolibrary.org/obo/OBI_0200075	ready for release	row submatrix extraction
Class	http://purl.obolibrary.org/obo/OBI_0200078	ready for release	descriptive statistical calculation objective
Class	http://purl.obolibrary.org/obo/OBI_0200077	pending final vetting	gating
Class	http://purl.obolibrary.org/obo/UBERON_0001970		bile
Class	http://purl.obolibrary.org/obo/OBI_0200079	metadata complete	arithmetic mean calculation
Class	http://purl.obolibrary.org/obo/OBI_0001144	metadata incomplete	binding constant
Class	http://purl.obolibrary.org/obo/OBI_0001145	metadata complete	3D structure determination of bound complex assay
Class	http://purl.obolibrary.org/obo/OBI_0001146	metadata complete	binding assay
Class	http://purl.obolibrary.org/obo/OBI_0001147	metadata complete	cell culture expansion
Class	http://purl.obolibrary.org/obo/OBI_0001148	metadata complete	gene knock out
Class	http://purl.obolibrary.org/obo/OBI_0001149	metadata complete	gene knock in
Class	http://purl.obolibrary.org/obo/GO_0071605		monocyte chemotactic protein-1 production
Class	http://purl.obolibrary.org/obo/GO_0071604		transforming growth factor beta production
Class	http://purl.obolibrary.org/obo/GO_0071607		macrophage inflammatory protein-1 gamma production
Class	http://purl.obolibrary.org/obo/OBI_0001140	metadata complete	spike-in quality control role
Class	http://purl.obolibrary.org/obo/GO_0071606		chemokine (C-C motif) ligand 4 production
Class	http://purl.obolibrary.org/obo/OBI_0001141	metadata complete	individual organism identifier
Class	http://purl.obolibrary.org/obo/GO_0071609		chemokine (C-C motif) ligand 5 production
Class	http://purl.obolibrary.org/obo/OBI_0001142	metadata complete	dye swap quality control role
